# gunzip -c exp/tri1/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri1/graph 
# Started at Wed Dec 13 20:22:07 SAST 2017
#
Overall, r_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,15) frames.
Overall, y_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,16) frames.
Overall, l_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.4,17) frames.
Overall, aw_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (16,15.4,20) frames.
Overall, w_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.1,8) frames.
Overall, uw_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (20,18.0,25) frames.
The optional-silence phone sil occupies 44.5% of frames overall 
Limiting the stats to the 55.5% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 1.6% of frames.
Assuming 100 frames per second, the alignments represent 0.1 hours of data, or 0.1 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 1.1% of utterance-internal phones, with duration (median, mean, 95-percentile) = (8,13.0,47)
# Accounting: time=0 threads=1
# Ended (code 0) at Wed Dec 13 20:22:07 SAST 2017, elapsed time 0 seconds
