# gunzip -c exp/mono/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Dec 13 20:12:57 SAST 2017
#
Overall, k_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.4,22) frames.
Overall, aw_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.1,20) frames.
Overall, n_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,11) frames.
Overall, b_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,10) frames.
Overall, ch_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.4,14) frames.
Overall, y_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.5,14) frames.
The optional-silence phone sil occupies 44.2% of frames overall 
Limiting the stats to the 55.7% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 1.5% of frames.
Assuming 100 frames per second, the alignments represent 1.3 hours of data, or 0.7 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 0.7% of utterance-internal phones, with duration (median, mean, 95-percentile) = (11,17.9,48)
# Accounting: time=0 threads=1
# Ended (code 0) at Wed Dec 13 20:12:57 SAST 2017, elapsed time 0 seconds
