# gunzip -c exp/tri1/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri1/graph 
# Started at Mon Nov 13 07:34:32 SAST 2017
#
At utterance begin, sil accounts for 91.1% of phone occurrences, with duration (median, mean, 95-percentile) is (19,21.5,40) frames.
Overall, ao_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.2,11) frames.
Overall, aw_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.0,15) frames.
Overall, eh_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,10) frames.
Overall, f_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.8,12) frames.
Overall, n_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.6,8) frames.
Overall, r_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.2,8) frames.
Overall, ah_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.8,10) frames.
Overall, er_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.5,8) frames.
Overall, p_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,8) frames.
The optional-silence phone sil occupies 41.4% of frames overall 
Limiting the stats to the 58.1% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 0.1% of frames.
Assuming 100 frames per second, the alignments represent 0.0 hours of data, or 0.0 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 0.3% of utterance-internal phones, with duration (median, mean, 95-percentile) = (3,3.0,3)
# Accounting: time=0 threads=1
# Ended (code 0) at Mon Nov 13 07:34:32 SAST 2017, elapsed time 0 seconds
