Final,Frequency,Group
up,3,1
down,3,1
left,3,1
right,3,1
alpha,3,1
bravo,3,1
charlie,3,1
delta,3,1
echo,3,1
foxtrot,3,1
golf,3,1
hotel,3,1
india,3,1
juliet,3,1
kilo,3,1
lima,3,1
mike,3,1
november,3,1
oscar,3,1
papa,3,1
quebec,3,1
romeo,3,1
sierra,3,1
tango,3,1
uniform,3,1
victor,3,1
whisky,3,1
x-ray,3,1
yankee,3,1
zulu,3,1
one,3,1
two,3,1
three,3,1
four,3,1
five,3,1
six,3,1
seven,3,1
eight,3,1
nine,3,1
ten,3,1
colon,10,1
single,10,1
double,10,1
equal,10,1
space,10,1
tab,10,1
bang,10,1
hash,10,1
dollar,10,1
percent,10,1
carrot,10,1
ampersand,10,1
star,10,1
late,10,1
rate,10,1
minus,10,1
underscore,10,1
plus,10,1
backslash,10,1
dot,10,1
slash,10,1
question,10,1
escape,20,1
alt,1,1
control,1,1
super,1,1
space,1,1
slap,75,1
